dataset_version,timestamp_ms,sample_index,total_samples,controller_backend,cycle_id,diameter_m,cmd_object_diameter_m,roll_rad,pitch_rad,yaw_rad,repeat_idx,light_intensity,light_azimuth_deg,light_elevation_deg,spawn_x,spawn_y,spawn_z,pick_cmd_x,pick_cmd_y,pick_cmd_z,place_cmd_x,place_cmd_y,place_cmd_z,arm_joint1_rad,arm_joint2_rad,arm_joint3_rad,arm_joint4_rad,arm_joint5_rad,arm_joint6_rad,arm_gripper_joint1_rad,arm_gripper_joint2_rad,arm_gripper_joint7_rad,cycle_service_success,cycle_message,cycle_success,gripper_close_ok,grasp_stability_ok,place_landing_ok,grasp_reached_ok,place_reached_ok,label,elapsed_sec,server_pose_strategy,server_pose_profile,before_x,before_y,before_z,lift_x,lift_y,lift_z,after_x,after_y,after_z,error
v2_kinematic,1776791026431,11,108,auto_sorting_action,1776790980830_11_0,0.0674,0.0674,0.0,0.0,0.0,0,1.0,60.0,30.0,0.19486181405473027,-0.3375078180596622,0.1425407917169573,0.19486181405473027,-0.3375078180596622,0.1425407917169573,0.16,-0.25,0.1,-1.0141114538779554,1.6535903938665086,-1.1522040558784372,0.059642216910704704,1.1241195767986163,-0.11550623577332253,,,0.034999960037413645,1,auto_action_cycle_done,1,1,1,1,1,1,1,46.6081,free_yaw,直解位姿(快速)(反向),0.19486181405473027,-0.3375078180596622,0.1425407917169573,0.19486181405473027,-0.3375078180596622,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776791044413,12,108,auto_sorting_action,1776791026958_12_1,0.0614,0.0614,0.0,0.0,0.0,1,1.0,60.0,30.0,0.15016699002467737,-0.10777062274224981,0.1425407917169573,0.15016699002467737,-0.10777062274224981,0.1425407917169573,0.16,-0.25,0.1,-1.0141114131766864,1.6535905374528017,-1.1522043110944056,0.059641965985295364,1.124121310089385,-0.11550484966196972,,,0.03499996160300239,0,action_server_error,0,0,0,0,0,0,0,17.981,,,0.15016699002467737,-0.10777062274224981,0.1425407917169573,0.15016699002467737,-0.10777062274224981,0.1725407917169573,0.15016699002467737,-0.10777062274224981,0.1425407917169573,action_server_error
v2_kinematic,1776791092707,13,108,auto_sorting_action,1776791045422_13_0,0.0622,0.0622,0.0,0.2,0.0,0,0.5,50.0,-20.0,0.21449286209294127,-0.326265972231147,0.1425407917169573,0.21449286209294127,-0.326265972231147,0.1425407917169573,0.16,-0.25,0.1,-0.992151222858948,1.6165437395791002,-1.0799026471203685,-0.030136681323276626,1.0467375450528404,-0.02808122013526848,,,0.03499998884375611,1,auto_action_cycle_done,1,1,1,1,1,1,1,48.2935,free_yaw,直解位姿(快速)(反向),0.21449286209294127,-0.326265972231147,0.1425407917169573,0.21449286209294127,-0.326265972231147,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776791110602,14,108,auto_sorting_action,1776791093358_14_1,0.068,0.068,0.0,0.2,0.0,1,0.5,50.0,-20.0,0.5149856100942781,0.0567943994059999,0.1425407917169573,0.5149856100942781,0.0567943994059999,0.1425407917169573,0.16,-0.25,0.1,-0.9921512414605997,1.6165438393056366,-1.0799028326872406,-0.030136525985836826,1.0467387725066057,-0.02808110958988852,,,0.03500001084974139,0,action_server_error,0,0,0,0,0,0,0,17.8944,,,0.5149856100942781,0.0567943994059999,0.1425407917169573,0.5149856100942781,0.0567943994059999,0.1725407917169573,0.5149856100942781,0.0567943994059999,0.1425407917169573,action_server_error
v2_kinematic,1776791144602,15,108,auto_sorting_action,1776791111630_15_0,0.0659,0.0659,0.0,0.2,0.0,0,0.5,60.0,30.0,0.262720891674709,0.009220231900779087,0.1425407917169573,0.262720891674709,0.009220231900779087,0.1425407917169573,0.16,-0.25,0.1,-1.022667040727324,1.6052930265956205,-1.1208407266706404,0.09558009258583855,1.0957548322825934,-0.12296721732489413,,,0.034999963039967066,1,auto_action_cycle_done,1,1,1,1,1,1,1,33.9997,relaxed,直解位姿(快速)(反向),0.262720891674709,0.009220231900779087,0.1425407917169573,0.262720891674709,0.009220231900779087,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776791162434,16,108,auto_sorting_action,1776791145132_16_1,0.0619,0.0619,0.0,0.2,0.0,1,0.5,60.0,30.0,0.38976948148068,-0.18611704274007237,0.1425407917169573,0.38976948148068,-0.18611704274007237,0.1425407917169573,0.16,-0.25,0.1,-1.0226669954741823,1.6052931575105225,-1.1208409485966788,0.09557968883207746,1.0957563112223898,-0.12296638726989517,,,0.03499994561996742,0,action_server_error,0,0,0,0,0,0,0,17.8315,,,0.38976948148068,-0.18611704274007237,0.1425407917169573,0.38976948148068,-0.18611704274007237,0.1725407917169573,0.38976948148068,-0.18611704274007237,0.1425407917169573,action_server_error
v2_kinematic,1776791184134,17,108,auto_sorting_action,1776791163400_17_0,0.0611,0.0611,0.0,0.2,0.0,0,0.8,50.0,-20.0,0.44350462398888296,-0.12413804840557396,0.1425407917169573,0.44350462398888296,-0.12413804840557396,0.1425407917169573,0.16,-0.25,0.1,-0.00668204771043257,0.00900708116787996,-0.004330156091569393,-0.004131220623884602,-0.0029208318400897326,0.009692598775940198,,,0.03500000823624613,0,action_server_error,0,0,0,0,0,0,0,21.6996,,,0.44350462398888296,-0.12413804840557396,0.1425407917169573,0.44350462398888296,-0.12413804840557396,0.1725407917169573,0.44350462398888296,-0.12413804840557396,0.1425407917169573,action_server_error
v2_kinematic,1776791231190,18,108,auto_sorting_action,1776791185075_18_1,0.047,0.047,0.0,0.2,0.0,1,0.8,50.0,-20.0,0.12317736947229324,-0.32416084614147084,0.1425407917169573,0.12317736947229324,-0.32416084614147084,0.1425407917169573,0.16,-0.25,0.1,-0.9537231205397649,1.6353233596041798,-1.1088442739507798,-0.08715563249448088,1.1007687881813881,0.05598696564130101,,,0.033500011349288025,1,auto_action_cycle_done,1,1,1,1,1,1,1,47.0553,free_yaw,直解位姿(快速)(反向),0.12317736947229324,-0.32416084614147084,0.1425407917169573,0.12317736947229324,-0.32416084614147084,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776791249090,19,108,auto_sorting_action,1776791231823_19_0,0.0674,0.0674,0.0,0.2,0.0,0,0.8,60.0,30.0,0.4668211703992392,-0.09107350912879053,0.1425407917169573,0.4668211703992392,-0.09107350912879053,0.1425407917169573,0.16,-0.25,0.1,-0.9537231761287135,1.635323461260466,-1.1088444731180207,-0.08715513113641116,1.1007700831848037,0.05598630729353005,,,0.03500005689951544,0,action_server_error,0,0,0,0,0,0,0,17.8997,,,0.4668211703992392,-0.09107350912879053,0.1425407917169573,0.4668211703992392,-0.09107350912879053,0.1725407917169573,0.4668211703992392,-0.09107350912879053,0.1425407917169573,action_server_error
v2_kinematic,1776791296047,20,108,auto_sorting_action,1776791250086_20_1,0.0604,0.0604,0.0,0.2,0.0,1,0.8,60.0,30.0,0.33812897173550205,0.030782652257972887,0.1425407917169573,0.33812897173550205,0.030782652257972887,0.1425407917169573,0.16,-0.25,0.1,-1.0245634807416106,1.6517094967240844,-1.1469289218840641,0.07012291454131336,1.1529604452618738,-0.08138426867398252,,,0.034999982557449745,1,auto_action_cycle_done,1,1,1,1,1,1,1,46.9564,free_yaw,直解位姿(快速)(反向),0.33812897173550205,0.030782652257972887,0.1425407917169573,0.33812897173550205,0.030782652257972887,0.1725407917169573,0.16,-0.25,0.1,
